Game,Player,Stat Type,Point Total,Over/Under,American Odds
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,assists,1.5,Over,-900
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,assists,1.5,Over,-750
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,assists,2.5,Over,-280
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,assists,4.5,Under,-235
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,assists,5.5,Under,-490
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,6.5,Over,-490
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,7.5,Over,-330
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,8.5,Over,-245
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,13.5,Under,-220
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,14.5,Under,-280
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points,15.5,Under,-390
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,9.5,Over,-550
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,10.5,Over,-400
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,11.5,Over,-290
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,12.5,Over,-220
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,17.5,Under,-210
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,18.5,Under,-270
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,19.5,Under,-340
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,20.5,Under,-440
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,points_assists,21.5,Under,-600
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,threes,0.5,Over,-310
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,threes,0.5,Over,-280
Detroit Pistons vs. Chicago Bulls,Ayo Dosunmu,threes,2.5,Under,-700
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,5.5,Over,-1100
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,6.5,Over,-650
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,7.5,Over,-320
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,7.5,Over,-290
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,11.5,Under,-310
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,12.5,Under,-500
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,assists,13.5,Under,-1000
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,14.5,Over,-1050
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,15.5,Over,-1000
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,16.5,Over,-700
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,17.5,Over,-500
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,18.5,Over,-420
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,19.5,Over,-290
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,19.5,Over,-320
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,20.5,Over,-250
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,21.5,Over,-205
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,27.5,Under,-240
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,28.5,Under,-290
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,29.5,Under,-350
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,30.5,Under,-440
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,31.5,Under,-580
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,32.5,Under,-700
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points,33.5,Under,-1000
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,24.5,Over,-900
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,25.5,Over,-670
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,26.5,Over,-500
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,27.5,Over,-420
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,28.5,Over,-320
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,29.5,Over,-270
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,30.5,Over,-220
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,36.5,Under,-200
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,37.5,Under,-240
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,38.5,Under,-290
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,39.5,Under,-350
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,40.5,Under,-440
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,41.5,Under,-550
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,42.5,Under,-670
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_assists,43.5,Under,-850
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,21.5,Over,-850
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,22.5,Over,-650
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,23.5,Over,-490
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,24.5,Over,-400
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,25.5,Over,-320
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,26.5,Over,-260
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,27.5,Over,-215
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,33.5,Under,-200
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,34.5,Under,-240
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,35.5,Under,-280
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,36.5,Under,-330
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,37.5,Under,-420
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,38.5,Under,-490
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,39.5,Under,-600
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,40.5,Under,-750
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds,41.5,Under,-1000
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,29.5,Over,-1100
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,30.5,Over,-800
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,31.5,Over,-600
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,32.5,Over,-490
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,33.5,Over,-400
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,34.5,Over,-330
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,35.5,Over,-270
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,36.5,Over,-230
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,43.5,Under,-200
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,44.5,Under,-235
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,45.5,Under,-275
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,46.5,Under,-330
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,47.5,Under,-400
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,48.5,Under,-490
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,49.5,Under,-600
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,50.5,Under,-700
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,points_rebounds_assists,51.5,Under,-900
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,3.5,Over,-1100
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,3.5,Over,-850
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,4.5,Over,-420
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,5.5,Over,-205
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,7.5,Under,-240
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,8.5,Under,-450
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds,9.5,Under,-750
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,11.5,Over,-750
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,12.5,Over,-470
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,13.5,Over,-300
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,14.5,Over,-205
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,17.5,Under,-210
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,18.5,Under,-300
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,19.5,Under,-440
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,rebounds_assists,20.5,Under,-670
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,steals,0.5,Over,-280
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,threes,0.5,Over,-1100
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,threes,0.5,Over,-850
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,threes,1.5,Over,-205
Detroit Pistons vs. Chicago Bulls,Cade Cunningham,threes,3.5,Under,-550
Detroit Pistons vs. Chicago Bulls,Coby White,assists,2.5,Over,-750
Detroit Pistons vs. Chicago Bulls,Coby White,assists,3.5,Over,-250
Detroit Pistons vs. Chicago Bulls,Coby White,assists,3.5,Over,-275
Detroit Pistons vs. Chicago Bulls,Coby White,assists,5.5,Under,-215
Detroit Pistons vs. Chicago Bulls,Coby White,assists,6.5,Under,-420
Detroit Pistons vs. Chicago Bulls,Coby White,assists,7.5,Under,-1000
Detroit Pistons vs. Chicago Bulls,Coby White,points,12.5,Over,-580
Detroit Pistons vs. Chicago Bulls,Coby White,points,13.5,Over,-420
Detroit Pistons vs. Chicago Bulls,Coby White,points,14.5,Over,-320
Detroit Pistons vs. Chicago Bulls,Coby White,points,14.5,Over,-290
Detroit Pistons vs. Chicago Bulls,Coby White,points,15.5,Over,-250
Detroit Pistons vs. Chicago Bulls,Coby White,points,16.5,Over,-205
Detroit Pistons vs. Chicago Bulls,Coby White,points,21.5,Under,-200
Detroit Pistons vs. Chicago Bulls,Coby White,points,22.5,Under,-245
Detroit Pistons vs. Chicago Bulls,Coby White,points,23.5,Under,-310
Detroit Pistons vs. Chicago Bulls,Coby White,points,24.5,Under,-380
