Game,Player,Stat Type,Point Total,Over/Under,American Odds
Chicago Bulls vs. Houston Rockets,Alperen Sengun,assists,2.5,Over,-670
Chicago Bulls vs. Houston Rockets,Alperen Sengun,assists,3.5,Over,-240
Chicago Bulls vs. Houston Rockets,Alperen Sengun,assists,3.5,Over,-270
Chicago Bulls vs. Houston Rockets,Alperen Sengun,assists,5.5,Under,-220
Chicago Bulls vs. Houston Rockets,Alperen Sengun,assists,6.5,Under,-440
Chicago Bulls vs. Houston Rockets,Alperen Sengun,blocks,0.5,Over,-290
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,12.5,Over,-700
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,13.5,Over,-550
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,14.5,Over,-420
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,14.5,Over,-370
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,15.5,Over,-310
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,16.5,Over,-245
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,22.5,Under,-205
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,23.5,Under,-250
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,24.5,Under,-310
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,25.5,Under,-400
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points,26.5,Under,-490
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,15.5,Over,-1100
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,16.5,Over,-800
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,17.5,Over,-600
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,18.5,Over,-470
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,19.5,Over,-360
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,20.5,Over,-290
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,21.5,Over,-230
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,27.5,Under,-200
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,28.5,Under,-245
Chicago Bulls vs. Houston Rockets,Alperen Sengun,points_assists,29.5,Under,-300
