Date,Home Team,Home Score,Visitor Team,Visitor Score,Game ID,Points,Assists,Rebounds,Minutes,Threes,Steals,Blocks
2024-11-16 17:00:00,Boston Celtics,126,Toronto Raptors,123,14304,18,4,5,41,3,0,2
2024-11-13 16:30:00,Brooklyn Nets,114,Boston Celtics,139,14280,9,3,2,22,3,0,1
2024-11-12 16:00:00,Boston Celtics,116,Atlanta Hawks,117,14271,31,5,6,38,7,1,0
2024-11-10 12:30:00,Milwaukee Bucks,107,Boston Celtics,113,14256,15,6,6,36,3,1,1
2024-11-08 16:30:00,Boston Celtics,108,Brooklyn Nets,104,14241,14,6,3,43,1,0,3
2024-11-06 16:30:00,Boston Celtics,112,Golden State Warriors,118,14226,26,3,6,36,7,2,0
2024-11-04 16:45:00,Atlanta Hawks,93,Boston Celtics,123,14211,21,6,6,29,4,2,1
2024-11-02 15:00:00,Charlotte Hornets,103,Boston Celtics,113,14195,18,2,8,34,4,1,2
2024-11-01 16:00:00,Charlotte Hornets,109,Boston Celtics,124,14186,17,5,2,35,3,1,1
2024-10-30 16:00:00,Indiana Pacers,135,Boston Celtics,132,14173,23,1,3,37,5,1,1
2024-10-28 16:30:00,Boston Celtics,119,Milwaukee Bucks,108,14158,13,8,3,34,3,1,1
2024-06-17 17:30:00,Boston Celtics,106,Dallas Mavericks,88,14042,14,1,8,38,4,2,1
2024-06-14 17:30:00,Dallas Mavericks,122,Boston Celtics,84,14041,6,1,4,31,2,0,0
2024-06-12 17:30:00,Dallas Mavericks,99,Boston Celtics,106,14040,16,4,5,42,4,0,2
2024-06-09 17:00:00,Boston Celtics,105,Dallas Mavericks,98,14039,18,2,5,38,4,3,2
2024-06-06 17:30:00,Boston Celtics,107,Dallas Mavericks,89,14038,15,5,2,35,3,1,0
2024-05-27 17:00:00,Indiana Pacers,102,Boston Celtics,105,14030,16,4,4,42,2,5,3
2024-05-25 17:30:00,Indiana Pacers,111,Boston Celtics,114,14028,13,7,5,35,2,0,4
2024-05-23 17:00:00,Boston Celtics,126,Indiana Pacers,110,14026,23,6,4,36,4,1,1
2024-05-21 17:00:00,Boston Celtics,133,Indiana Pacers,128,14024,15,9,6,42,3,2,1
2024-05-15 16:00:00,Boston Celtics,113,Cleveland Cavaliers,98,14021,18,6,5,36,4,0,2
2024-05-13 16:00:00,Cleveland Cavaliers,102,Boston Celtics,109,14020,5,3,7,30,1,1,0
2024-05-11 17:30:00,Cleveland Cavaliers,93,Boston Celtics,106,14019,12,3,3,37,3,1,1
